1,,Popiełuszki Jerzego 17B/11,116000,18,6444,brak KW
2,,Grójecka 56/58/4A ,104755,16.8,6247,WA1M/00414000/9 
3,,Barkocińska 15/8,124000,19,6523,WA3M/00331649/8
4,,Długosza Jana 22/8,127500,21.9,5819,WA4M/00063688/0
5,,Sosnkowskiego 14/9,155000,25.2,6163,WA5M/00442989/8
6,,Brechta Bertolta 13/3,164000,26.7,6140,WA3M/00184566/6
7,02-02-2017,Bolivara Simona 2/32,157500,27,5833,brak KW
8,,Grzybowska 30/1024,186285,27.1,6874,brak KW
9,,Warszawska 55/22,165600,27.9,5944,WA6M/00446343/3
10,,Międzynarodowa 58/60A ,185248,28,6616,brak KW
11,02-02-2017 ,Cyraneczki 1/9 ,219069,28.3,7752,WA6M/00116327/3 
12,02-02-2017 ,Włodarzewska 81/4,237600,28.3,8396,WA1M/00511213/5
13,,Kartograficzna 58b/8,164451,28.7,5730,WA3M/00482253/8
14,,Etiudy Rewolucyjnej 9/1,200400,29.3,6840,WA2M/00486475/1
15,,Globusowa 7/4,166050,29.9,5563,WA5M/00472253/9
16,08-03-2017,Rembielińskiej 4/167 ,150300,30,5010,brak KW
17,,Solidarnosci 84/52,226700,30.1,7532,WA4M/00132422/3
18,,Puławska 240/23 ,180000,31,5806,WA2M/00198168/0 
19,31-03-2017,Powstańców śląskich 104/227,219300,31.2,7029,wa1m/00312022/4
20,,Herbsta 4/507,217000,31.3,6933,brak KW
21,,Konopacka 21/28,160692,31.4,5122,WA3M/00099461/7
22,,Wańkowicza 2/108,274000,32.4,8457,WA2M/00321928/8
23,,Skarbka z Gór 134b/7,175000,33.9,5162,WA3M/00455195/5
24,23-01-2017,Wrońskiego 15/6,282000,34.4,8210,WA4M/00083882/6
25,03-09-2017,Aleja Niepodległości 137/141/39 ,250000,34.7,7200,WA2M/00438088/0 
26,25-01-2017,Jana Kasprowicza 56/91,252000,35,7196,WA1M/00089304/2
27,,Skarbka Z Gór 51A/34,192500,35.3,5453,WA3M/00452648/5
28,,Wołoska 82A/4 ,261000,35.5,7352,WA2M/00464657/1 
29,08­-02-­2017,Krasińskiego 37/53,282700,35.5,7963,brak KW
30,,Żeglugi Wiślanej 11/29,203804,35.9,5677,WA3M/00484408/4
31,23-01-2017,Konduktorska 1A/75 ,265000,35.9,7382,WA2M/00188155/3 
32,,Szaserów 121/105,226154,36,6282,brak KW
33,,Szwankowskiego 8/69,230800,36.5,6323,WA1M/00472494/2
34,,Mehoffera 44/4,218491,36.5,5981,WA3M/00477406/8
35,,Redutowa 50/20 ,238780,36.9,6471,brak KW
36,,Wiosenna 2/170,200577,37,5421,WA3M/00469056/0
37,,Przy Agorze 3/153,212000,37,5730,brak KW
38,,Wiosenna 2/249,221100,37,5976,brak KW
39,,Redutowa 50/130,224980,37.1,6063,brak KW
40,,Środkowa 30/22A ,201256,37.5,5374,WA3M/00449334/7 
41,,Górczewska 18/44,260618,37.5,6959,WA4M/00215181/7
42,,Toruńska 52/18,203500,37.5,5427,brak KW
43,,Międzyborska 43 A/48 ,233100,37.5,6216,WA6M/00201180/3 
44,,Międzynarodowa 64/66A/229,234000,37.5,6240,WA6M/00453807/6
45,,Kondratowicza 13/127,240100,37.5,6403,WA3M/00473761/6
46,,Górnośląska 2/7 ,329150,37.5,8775,WA4M/00403678/3 
47,,Młynarska 30A/59 ,266900,37.7,7080,WA4M/00405582/7 
48,,Batorego 31/103,305500,37.9,8061,brak KW
49,,Rembielińskiej 6/9,186300,38,4903,brak KW
50,,Angorska 8/9 ,316000,38.3,8261,WA6M/00191076/7 
51,,Przylesie 21/211,211894,39,5433,WA3M/00231626/0
52,,Przylesie 21/312 ,187000,39.1,4783,WA3M/00285575/0 
53,,Modlińska 65G/3,213000,39.1,5448,WA3M/00485008/7
54,,Modlińska 65G/4,213000,39.1,5448,WA3M/00485009/4
55,,Grochowska 174/176/3,240000,39.2,6124,WA6M/00086211/7
56,,Al.Niepodległości 24/30/20 ,267900,39.3,6817,brak KW
57,,Książkowa 7a/316 ,238000,40,5950,WA3M/00322690/4 
58,,Mirowski 10/11,319000,40.3,7916,brak KW
59,,Nieporęcka 12/7,258000,40.4,6383,WA3M/00138915/1 
60,,Wysockiego 2/111,184000,40.8,4510,WA3M/00439462/0
61,,Al. Niepodległości 76/78/65,325000,41.3,7871,WA2M/00324917/9
62,,Kochanowskiego 12a/1 ,241000,41.5,5807,brak KW
63,,Kaukaska 8/42,238000,42.2,5640,WA2M/00463522/9
64,,Batumi 4/18,264000,42.4,6226,WA2M/00449975/5
65,,Magellana 2/41,274100,42.4,6465,WA2M/00442200/3
66,,Domaniewska 17/19/120,300700,42.4,7092,WA2M/00481163/6
67,27-03-2017 ,Solidarnosci 84/53,301000,43.3,6947,WA4M/00104356/4
68,,Laskowa 3/3,283200,43.5,6510,WA4M/00394667/6
69,,Króla Maciusia 11 A/154 ,233793,43.8,5340,WA6M/00134404/9 
70,,Sękocińska 20/49 ,143500,44.1,3254,WA1M/00281030/6 
71,11-04-2017,Pasłęcka 10C ,255122,44.2,5772,WA3M/00440115/3
72,22-02-2017,Potocka 33 A/21,330000,44.7,7383,brak KW
73,,Al. Jerzego Waszyngtona 106/9,301431,44.7,6740,WA6M/00113452/7
74,,Kasprowicza 82/12,291200,45.4,6414,WA1M/00337363/7
75,,Szanajcy 16a/13,268555,45.5,5901,WA3M/00129659/2
76,08-03-2017,Bandrowskiego 9/74,257114,45.6,5636,wa1m/00467927/9
77,,Bandrowskiego 10/43,275100,45.7,6020,WA1M/00311034/4
78,,Wałbrzyska 15/408,311000,46.1,6746,brak KW
79,,Bohaterów Warszawy 8/94 ,286760,46.2,6207,brak KW
80,,Sobieskiego 99/77,319000,46.2,6903,WA2M/00131555/3
